Korean,Spanish
되겠네,Será
복부,estómago
돌아왔어요,Ya estoy de vuelta
hands,manos
가져왔어,Tráelo
놀라게,Asombrosamente
그녀도,Ella también
경기,juego
말자,Furioso
clever,inteligente
감옥에서,En prisión
기계,máquina
들어왔어,entré
떠나고,Partida
애인,amante
썩,Podrido
당분간,por ahora
대답해,Respóndeme
쯤,Alrededor
숀,Sean
때에,A tiempo
나아질,Mejor
폭풍이,Tormentoso
약속할게,Lo prometiré
이번에는,esta vez
지나,Mediante
영광입니다,Es un honor
소린,Inclinarse
부탁합니다,por favor
가는거야,vamos
못했다,No pude
나와라,Salga
아무거나,cualquier cosa
놓은,Metido
잤어요,dormido
주제에,Sobre el tema
간호사가,Enfermero
뼈를,Hueso
존재가,Existencia
부탁이,Solicitud
신이시여,Oh Dios
어휴,Puaj
궁금한,curioso
late,tarde
될지도,Mayo
자막공장,Subtitular
만나지,Reunir
제이슨,Jasón
두지,Doujinshi
애인이,Amante
trouble,nubes
speaking,Discurso
아프로,Afro
들어가야,Tengo que entrar
아기의,Bebé
느껴져,Sentir
나라,país
역사상,Historia
부탁드립니다,por favor
웃기지,Gracioso
keisha,Keisha
실례지만,Disculpar
옷은,Ropa
나갔어,Salí
잘못이야,Está incorrecto
토비,Toby
하냐,Hacer
그랬으면,Si es así
저래,Que
춘향아,Chunhyanga
타요,Tayo
했었죠,Fue
빌,Factura
양의,Positivo
훔친,robado
chuckles,risas
벽,pared
못할거야,no puedo
밑으로,Abajo
죄,delito
mom,MAMÁ
피에르,Pierre
그들과,Con ellos
발로,expresión
용서해,Perdón
기억해요,yo recuerdo
어쨌거나,de todos modos
반응이,Respuesta
외로운,solitaria
쇼를,Espectáculo
한숨,suspiro
보자구,Aburrido
아빠의,Papá
special,especial
넣을,Meter en
개자식,Perro
로봇,robot
해준,Dado
later,luego
아셨죠,yo sabía
없습니까,¿No hay
은하는,Plata
냄새를,Oler
하시오,Hashi
부른,Cantado
보셨어요,Lo viste
여기다,Esta aquí
멍청이,ficticio
lose,perder
아이에게,Al niño
six,SEIS
년을,Año
이혼,divorcio
케빈,Kevin
도중에,en camino
갈까요,Nos vamos
안부,la seguridad
의사는,El doctor
tried,intentó
데로,Crudo
충격을,Choque
해줄게,lo haré
인생에,En la vida
치료가,Terapeuta
사랑합니다,Me encanta
없다니까,No hay
것이죠,Será
당겨,Jalar
없었고,No
도망가,Huir
싶나,Yo quiero
사람이죠,Es una persona
버렸어,Lo abandoné
의미를,Sentido
모르겠군요,No sé
비행기가,Plano
원하는게,Lo que quieras
친,amigo
말이예요,quiero decir
루시,Lucy
실력이,Habilidades
정직한,honesto
평생을,Toda la vida
웬일이야,Por alguna razón
너보다,Que tú
션,Sean
옆으로,oblicuo
les,les
했거든,Lo hice
감고,Devanado
행성,planeta
변하지,Cambiando
sent,Enviado
한단다,Una
유리,vidrio
하루를,Un día
한게,Una
welcome,Bienvenidos
없냐,No
휘릴,Ruina
기다리지,Esperando
유감입니다,Lo siento
당장은,En este momento
어디까지,Hasta aquí
말구,No
전부야,Todos
아아,café helado
근사한,belleza
바지,pantalones
하늘에,En el cielo
생각하게,Pensamiento
날을,Día
high,alto
표정,expresión
telling,teling
다하고,Realizar
말하게,Habló
아홉,nueve
안드레우,Andreu
할꺼야,lo haré
확률이,Probabilidad
파란,azul
어떠냐,Qué tal si
세계에서,en el mundo
짓도,Creación
손대지,Hijo daeji
실수로,por error
안다면,Si usted sabe
있잖니,Usted está
마틴,Martín
미국의,Americano
오늘부터,A partir de hoy
living,Vivir
걸리지,Me atrapan
늦어서,tarde
말아야,No debería ser
정말로요,En realidad
쪽은,El lado
마누라,esposa
구멍이,Agujero
died,murió
현장에,En el sitio
아니거든요,No
보지도,Coño
군대,ejército
그랜드,grandioso
뜻인지,Intención
감정,emoción
빛을,Luz
죽어서,Muriendo
듣게,Escucha a
오빠를,Hermano
사람아,Persona
존나,Maldito
에워싼데도,Incluso también
입어,Gastado
않겠습니다,no lo haré
말해주세요,Dime por favor
상을,Otorgar
섹시한,sexy
부분은,La parte
해줘야,tengo que hacerlo
바짝,Apretado
오른쪽으로,A la derecha
않는데,Yo no
다해,Todos
고맙다고,Gracias
웃는,sonriente
무엇이든,Cualquier cosa
할래요,Quiero hacerlo
수치가,Cifras
젊고,yavis
그러자,OK
누구예요,Quién eres tú
낯선,desconocido
했더니,Lo hice
딱히,Exactamente
자네와,Tu contigo
괜찮다면,Si no te importa
정도의,La licenciatura
사이가,Intersección
엘리자베스,Elizabeth
하이,alto
뭐랬어,Qué dijiste
seriously,En serio
밤의,castaña
첫째,primero
얻는,Obtenido
mon,monón
말할게,te diré
인공,Arte
폐를,Pulmones
bigger,Más grande
모두의,Todos
year,año
덕에,Gracias a
동료,colega
날려,Explotar
자란,Crecido
정부,gobierno
준비는,Preparación
그러냐,Asi que
すべてを僕が敵にまわしても,て を が 敵 て
걷고,Caminando
미래,futuro
대해서도,También
공연,mostrar
벌을,Castigo
에드,Edición
떠나면,Si te vas
continues,Continúa
하겠다고,Para hacerlo
형사,detective
하라는,Que hacer
gets,obtiene
기다리게,Esperando
살이,Carne
말하려고,Decir
idiot,ESTÚPIDO
글을,Escritura
산사,Deslizamiento de tierra
다니엘,Daniel
바라지,Deseo
규칙,regla
상태는,Estado
붙여,Pegar
사람이지,Hombre
약물,droga
다행이다,gracias a Dios
존이,Zona
써도,Incluso
그딴,Que
part,parte
빛이,Luz
stopped,Detenido
들어가게,Entrar
수술도,Cirugía
자라,Ve a dormir
용서,Perdón
하비,Harvey
계실,Habitación
마시면,Si bebes
뼈,hueso
목소리를,Voz
각각,cada
감자,papa
발견했습니다,Lo encontré
안고,Mantener
자야,Jaya
귀,oído
어떡하지,Qué hacemos
between,Entre
신께서,Dios
도망칠,Huir
도와드릴까요,Puedo ayudar
문은,Puerta
끝내주는,Sin fin
신발을,Zapatos
임신한,Embarazada
싸워,Lucha
순간부터,Desde el momento
얘기좀,Hablar
하늘이,Cielo
어른이,Adulto
영원한,Siempre
파는,Venta
신문에,En el periodico
뭐해요,Qué estás haciendo
앙뚜완,Antuwan
hurt,HERIR
만들어서,Hecha
happening,SUCEDIENDO
노래가,Cantante
없을까,¿No hay
멈추게,Deténgase
싸움,lucha
느끼지,lo siento
잉,Eh
레드,Rojo
아십니까,Lo sabías
유감이에요,Lo siento
en,interno
되겠어요,Será
떠났어요,Me fui
최고로,Mejor
이모,tía
deal,acuerdo
일해요,trabajo
모양이야,Su forma
거고요,yo
미,mi
경비,seguridad
가족에게,Para la familia
개는,El perro
어둠,oscuridad
묻고,Pedir
저들은,Ellos
우리끼리,Sin nosotros
burn,Quemar
설,Año Nuevo
병원이,Hospital
때론,Algunas veces
합니까,Hacer
막고,Bloquear
올리고,Subir
남는,Restante
피로,fatiga
전화할게,te llamare
유전자,gene
쟤는,Él
과거,pasado
확신할,Confianza
곳이죠,Es un lugar
가나,Ghana
슬슬,Flojo
메시지,mensaje
lovely,Hermoso
이동합니다,Muevete
해야겠어요,Tengo que
발이,Pies
우연히,por casualidad
하여튼,de todos modos
가방에,En la bolsa
들어가자,Entremos
올거야,Venir
봐야겠어,Tengo que verlo
주말에,En el fin de semana
질문은,La pregunta es
말인가요,Qué quieres decir
얘기한,Habló
에이프릴,Abril
david,David
데도,También
both,Ambas cosas
참으로,Por cierto
n,norte
공격,ataque
노력하고,Esfuerzos
하진,Hajin
어쩐,De alguna manera
state,Estado
방식으로,En cierto sentido
로비,vestíbulo
무조건,deber
없인,Sin que
범인은,El culpable
잡지,revista
드려,Dado
정,cariño
되도록,Cuanto más se pueda
혈압은,Presión arterial
봤습니다,yo lo vi
가거라,Vamos
그랬나,Acaso tú
우유,Leche
죄송합니다만,Perdóneme
쌍둥이,Mellizos
노는,Jugando
하려,Ser - estar
bro,hermano
향한,hacia
있겠다,Ahí
포함해서,incluido
놀아,desempeñar
외과의가,Cirujano
team,Equipo
같았어,Era lo mismo
끼고,En
좋아하고,Me gusta
계란,huevo
구하러,Ahorrar
잠도,Dormir
둔,Descendencia
가야겠어요,tengo que ir
나온다,Sale
도련님,joven maestro
이들이,Estas
꿈도,Sueño
가스,gas
요즘은,Hoy en día
change,cambio
싶었는데,Quería
거기다,Todos
지고,por debajo
기쁘게,con alegría
시스템이,El sistema
보이죠,yo lo veo
지난번에,La última vez
술집에,En el bar
워낙,Mucho
써야,Tengo que usarlo
총은,El arma
사소한,Menor
고맙구나,Gracias
단서를,Pistas
되었어,Ser
뭐래,Qué dijiste
싸우지,Lucha
폐,pulmón
할께요,lo haré
그것들은,esos son
마침,Finalizar
쌀,arroz
저기에,Ahí
영,cero
예쁘게,hermosamente
보통은,normalmente
제겐,Zona
돌아오는,Que regresa
빨리요,Rápidamente
쥐고,Agarrado
내리는,desmontable
특별,Especial
머릴,Verter
일이라도,En el trabajo
dangerous,Peligro
부탁을,Solicitud
있었거든요,yo estaba allí
반은,Mitad
전화는,El teléfono
전화도,Teléfono
아니구요,No
landing,aterrizaje
멋지네요,increíble
축하합니다,Felicidades
machine,Máquina
없고요,No
tu,tu
고마,deténgase
깨닫게,Darse cuenta
문제지,Problemas
못한다,No puedo hacerlo
무사히,sin peligro
미안하구나,Lo siento
이용해서,En
지금이야,Ahora
울어,Llorando
거래를,Transacción
연기,actuación
경험이,Experiencia
얻어,Obtener
단단히,firmemente
전해줘,Por favor dime
앞서,previamente
실례할게요,Perdóneme
메러디스를,Merdis
연구,Investigar
뜻,sentido
집중해,Concentrarse
십,diez
재판을,Prueba
생기는,Que ocurre
타임,tiempo
화재,fuego
제가요,soy
모르겠군,No sé
바랄,Deseo
드레스를,Vestir
부스,puesto
조용한,tranquilo
가능성은,La posibilidad es
좋소,Bueno
아니겠죠,No
비켜요,Salir
애초에,En primer lugar
놈도,Incluso también
궁금해서,Tengo curiosidad
그림자,sombra
똑똑하고,Inteligente
주인,anfitrión
너에,Para ti
로빈,Robin
화난,enfadado
열이,fiebre
이유도,Razón
파일을,Expediente
결혼식에,Boda
생각했다,Pensamiento
봤잖아,yo lo vi
같던데,Era lo mismo
도시의,Urbano
하는건,Qué hacer
앞으로도,En el futuro
일이다,Trabajar
해주는,Gonading
times,VECES
지금의,Ahora
지켜보고,Reloj
붉은,Rojo
소문이,Rumor
네드,Ned
붙잡고,Esperar
적절한,adecuado
아니군,No -kun
때만,Única vez
사용,usar
있겠나,Quizás
자유롭게,libremente
crying,llorando
지금껏,Hasta aquí
원하는지,Quiero
신랑,novio
어떻습니까,Cómo es
attention,Atensión
사람입니다,soy una persona
rock,Roca
asked,preguntó
신고,Declaración
너희들을,Ustedes
also,además
들어가지,Ingresar
수술하는,Quirúrgico
사용하는,usando
잃었어요,perdí
데는,Asi que
bloody,Sangriento
메세지를,Mensaje
fact,hecho
가족들이,Familia
만들었지,lo hice
많을,Muchos
했었어,yo
사샤,Sasha
만나요,Nos vemos
아델,Adel
easy,Fácil
먹을래,Quiero algo
깊게,profundo
힐,tacón
knight,CABALLERO
시계를,Reloj
장군님,General
못하지,no puedo
칼로,Cuchillo
생각한다면,Si piensas
evening,evento
가게에서,En la tienda
몹시,Muy
번은,Número
죽었습니다,Murió
티리온,Tirion
찾았다,fundar
그지,Que
살던,Vivió
마크가,Marca
살해,asesinato
있을게요,Voy a estar allí
란,Corrió
무,rábano
주님,Caballero
소아과,Pediatría
하자는,Defectuoso
x,X
master,Maestro
들어본,Escuchó
least,EL MENOS
뇌의,Cerebro
rather,bastante
deep,Profundo
죽어라,morir
처음에,Al principio
팔코니,Falconi
데릴,Daryl
빛의,Luz
어디를,Dónde
started,Empezado
장벽,barrera
않기로,No a
놈들의,Tipo
구나,Inteligente
castle,Castillo
신성한,sagrado
미치겠네,volviéndome loco
알았습니다,yo sabía
확실해요,Estoy seguro
지난번,ultima vez
신호를,Señal
싹,brote
우주에,En el espacio
이상해요,Extraño
오랜만에,Mucho tiempo sin verlo
저희도,Nosotros también
막지,Bloqueo
군요,yo
reason,RAZÓN
와도,Venir
눈치,sentido
돌아서,redondo
했습니까,Acaso tú
마음의,Corazón
갇혀,Atrapado
같지만,Lo mismo
들어가세요,Entra
공격을,Ataque
환자들을,Pacientes
감사드립니다,Gracias
그이는,Él es
다요,Todos
lf,LF
위해서는,Para
있어라,Quedarse
멜,Mel
아시겠죠,sabes
죽음,muerte
떨어졌어,Caído
있음,ha existido
아내와,Esposa con
좋군요,Bueno
만나기로,Reunirse
걸지,Dientes
goodbye,Adiós
아니라구요,No
지켜야,Debe ser mantenido
si,Si
그분,A él
싫어해요,no me gusta
선택은,La elección es
재,re
걱정하고,Preocupante
allez,Allez
바라,Esperar
나나,Nana
드려요,Te daré
들어간,Ingresó
캘리가,Caliga
제이미,Jamie
아빠와,Papá con
뼈가,Hueso
그런거야,Eso es todo
집이야,¿Es tu casa?
친구예요,Soy un amigo
규칙이,Normas
설명할,Ser explicado
수업,clase
재능이,Talento
선배,sénior
마이,mi
여왕,Reina
테야,Teya
들어보세요,Escuchar
눌러,Prensa
선생이,Maestro
기뻐,Contento
왔는데요,yo vine
처리,proceso
최종,final
중앙,centro
친절한,tipo
발작을,Setenta
답이,Responder
변화를,Cambio
전투에서,En batalla
착하지,Bueno
누구에게,A quién
돌,roca
않겠다고,no lo haré
레지던트가,Residente
늦지,Tarde
멀쩡해,Está bien
끝나,mediante
훔쳐,Robar
안된다,No se puede hacer
어울려,adecuado
hmm,MMM
사고로,En un accidente
않았던,No
꼴,forma
maths,matemáticas
또다른,Otro
밥이,Beto
팔이,Brazo
강하게,fuertemente
들어가고,Ingresó
fobs,Fobs
찾아요,Encontrar
touch,Tocar
회사에,La empresa
죽음에,Muerte
기사가,Artista
한번에,En seguida
그시간에,En ese tiempo
거거든,Pensé
고통스럽고,Doloroso
집중,Concentración
손상이,Daño
이브,Víspera
돌려줘,Devolverlo
주변을,Alrededor
마실래,Quiero beber
아침입니다,Mañana
셔츠,camisa
만들기,para hacer
거리에,en la calle
걔들이,Ellos
till,hasta
작품,Trabajar
애론,Aeron
바지에,Pantalones
않기,No
해변에,En la playa
explain,EXPLIQUE
걔네,Ellos
열차,tren
적당히,Moderadamente
하셨어,Lo hice
길에서,En el camino
기억은,La memoria
소용없어,Es inútil
필요하다,necesitar
워싱턴,Washington
총알을,Balas
그런데도,Todavía
오야,O'ya
소용,usar
그때가,Después
숨길,Ocultar
빅터,Víctor
영웅이,Héroe
못한다면,Si no es
멈추고,Deténgase
내린,Apagado
elliot,Elliot
날에,Al día
코너,esquina
졸라,Jola
겁,cobardía
줬으면,Si lo das
summer,El verano
했니,Tú
출혈,sangrado
그놈의,Gnom
케이스,caso
부모님을,Padres
죄송한데,Lo siento
순간에,En este momento
탈출,Escapar
짜증,mal humor
앨리슨,Alison
둬요,Dejalo
놔요,Darle
만났을,te conocí
있겠네,Debe ser
catch,captura
거니까요,Porque
생명,vida
군대에,En el ejercito
하라,hazlo
가본,Vamos
윌슨,Wilson
않으세요,No haga
바꾸는,cambiante
huh,¿eh?
환자들은,Pacientes
나이에,A la edad
딘,Decano
고대,antiguo
것뿐이야,Es solo
않으니까,Porque
돌아가셨어요,Él murió
비타민,vitamina
충성,Lealtad
뜻을,Sentido
seems,parece
london,Londres
저들을,Ellos
것인가,O
clear,Claro
믿음을,Fe
방송,transmisión
예전엔,Antes
부족해,Falta
찾아와,Venir
기도를,Oración
라니스터,Lannister
왔고,Venir
주소,Dirección
실수,error
짧게,brevemente
자세한,Detallado
questions,Preguntas
했다면,Si es así
우리집,mi casa
베일리는,Muralla exterior
rings,Anillos
머시,Misericordia
이쁜,bonita
기억하고,Recuerda
저녁을,Cena
느끼게,Sentir
않았다고,No lo hice
leaving,Partida
원한,resentimiento
무엇인지,Qué
주의를,Precaución
죽을지도,Mapa
괜찮은데,está bien
뻔한,calvo
에너지,energía
gold,Oro
그랬는데,Hice
없이도,Sin que
동안은,Tiempo
저녁은,Tardecita
도착,llegada
guess,ADIVINAR
그놈을,Él
생각하죠,pienso
선생님께,Al profesor
서로에게,El uno al otro
끝났습니다,se acabó
아닐세,No
간단히,simplemente
시끄러워,Ruidoso
사고를,Accidente
saved,SALVADO
인한,Debido a
시속,Por hora
보이니,Visible
이전에,Antes
다행이네요,Eso es afortunado
금요일,viernes
저지른,culpable
노아,Noé
역,estación
이식을,Trasplante
좋겠네,Espero
저스틴,Justin
볼까요,Vamos a ver
준다고,Darle
멋지게,excelente
알아볼,Ser - estar
하다가,Y
기록,registro
했단,Hizo
생활,vida
시에,Poesía
갔을,Fui
총이,Pistola
밀어,Empujar
괜찮나,Está bien
용,continuar
못했을,No pude
싶소,Yo quiero
결혼하고,Casado
당신처럼,Como tú
구하려고,Ahorrar
귀신이,Fantasma
영혼이,Alma
않겠죠,no lo haré
둘째,segundo
지은,Construido
잡았어요,Lo atrapé
사업을,Negocio
팔에,Brazos
유럽,Europa
존재하지,No existe
rigsy,ramillete
왔죠,yo vine
주시죠,Dame
양쪽,ambos lados
때로는,algunas veces
공주,Princesa
퀼프,Colcha
이기는,Victorioso
죄가,Pecado
울,lana
칼이,Carl
자네들이,Ustedes
떼,grupo
set,establecer
뭐고,Qué
헌데,Choque
걔들은,Ellos
perhaps,quizás
생각한다,pensar
이가,Dientes
알아낼,Figurar
맘,Corazón
기억나요,yo recuerdo
없기,No
알려진,conocido
갈래요,Quiero ir
보일러,Caldera
weird,extraño
성함이,Nombre
것이야,Lo es
이따가,luego
허락,permiso
만들어야,Hazlo
거라구요,Eso es todo
래리,Larry
분위기,atmósfera
귀하의,Su
째,Intenso
예쁘다,bonita
서류에,Documentos
forever,Siempre
애들도,Los niños
나라를,El país
evil,demonio
엉뚱한,chiflado
한시간,una hora
이에요,es
쫓아,Persiguiendo
감당할,Manejar
경우는,Caso
같진,Igual
derek,Derek
뒤집어,Anular
훈련,capacitación
여자에게,A la mujer
부모,padres
가져온,Importado
주위에,alrededor
미래는,El futuro es
할머니는,Abuela
모아,Recolectar
화장실에,En el baño
섹스는,Sexo
과거를,Pasado
죽길,Muerte
누구보다,Más que
susan,Susan
신장을,Riñón
와야,Venir
않을래,No quiero
사랑할,te amo
클럽,club
로빈스,Robins
plus,más
하필,Falso
usually,Normalmente
관계는,La relación
고통은,Dolor
이용한,Usó
sweet,sebo
들었습니다,he oído
브랜드,marca
있는지도,Si existe
구했어,Yo guarde
건너,Cruce
안하고,Sin que
모여,Recolectar
seem,parecer
통증,dolor
이들은,Estas
지로,Giro
끝내,Finalmente
다닐,Asistir
싫은데,No
나한테는,A mi
노력,esfuerzo
의한,por
되어서,Como
한번은,Una vez
une,une
기계가,Máquina
이번이,Esta vez
힉스,Higgs
던,Calabozo
주목,puño
낳을,Nacer
혜린아,Hyerina
아하,Aha
않겠지,no lo haré
앗,Oh
타디스가,Tadis
승리,Victoria
호텔에서,En el hotel
이놈의,Este chico
내지,Náuseas
조싼,Elegante
회사에서,en el trabajo
파트너,compañero
솔직하게,honestamente
중간에,en el medio
오늘밤에,Esta noche
제프,Jeff
하니까요,Porque
번호를,Número
샀어,Yo lo compré
실험,Experimento
좋구나,Se siente tan bien
weren,Weren
버린,Descartado
초,vela
행동이,Acción
옷이,Ropa
그랬던,Eso fue
않냐,No
안협네,Ahn
가게에,En la tienda
금,oro
좋겠군,Espero
가는지,Vamos
깨끗이,limpio
그때는,después
젠장할,Maldición
남편의,Esposo
덤보,Mudo
파커,Parker
병신아,Toro
불리는,Llamó
얘기하자,Hablemos
살아남을,Sobrevivir
싶네,Yo quiero
스티븐,Stephen
팀에,Equipo
동생은,Mi hermano
하나야,Hana
계십니다,Él es
그런걸,Que
돌아오면,Cuando vuelvas
떨어지면,Si cae
wish,deseo
빛나는,brillante
대학에,Universidad
술도,Alcohol
누구인지,Quien es
요원이,Agente
찾아낼,Fundar
사업,negocio
가족의,Familia
walls,Paredes
되겠습니까,Lo será
신장,riñón
없으니까요,Porque no hay
먹어도,Incluso si comes
roi,ROI
등에,tábano
죽일거야,te mataré
그녈,Ella
생각하는지,Pensamiento
걱정하는,Preocupante
바쁜,ocupado
긴급,Emergencia
클레어,Claire
어때서,Cómo
아닐까요,Quizás
신부님,Padre
그렇긴,Sí
제거하고,Quitar y
follow,seguir
eh,Eh
변태,transformación
얼굴도,Cara a cara
book,Libro
컷,Corte
앨리스,Alicia
말았어야,Yo no debería tener
그린,Verde
굶어,Morirse de hambre
글,escritura
아마도요,Probablemente
넘겨,Paso
경우엔,En caso
하도,Homo
있길,Quedarse
위해서라면,Ramen
자릴,Frasco
뜨고,Flotante
힘들지,Estás cansado
것인지,O
돌아올게,voy a volver
물은,Agua
서류를,Documentos
악마,Demonio
상상할,Imaginar
바보가,tonto
사귀는,Tener una cita
가겠어요,Voy a ir
브라보,Bravo
이자벨,Isabelle
perfect,Perfecto
걱정을,Preocuparse
공기를,Aire
술은,Alcohol
어둠의,Oscuro
것이며,Estarán
섬,isla
닮은,Parecido a
거라구,Ese es
블레이드,espada
시간의,Tiempo
내부,en el interior
갔는지,Fui
정보는,La información es
그쪽이,Que
그러다가,y entonces
변호사가,Un abogado
기차,tren
인터뷰,entrevista
가지만,Solamente
어쩌려고,Ser - estar
영어,inglés
중이다,Estar en
이후에,Desde el
이기고,Victoria
표정이,Expresión
이상이,Ideal
잘생긴,Guapo
시작한다,comienzo
알기나,Conociéndome
ruby,rubí
문제로,En cuestión
자매,hermanas
조각을,Escultura
됐나요,¿Lo es?
선택권이,Derecha opcional
사랑스러운,Amado
장소,Lugar
어땠어요,Como estuvo
주마,fin de semana
하셔,Mierda
아내의,Esposa
예수,Jesús
확신이,Confianza
전화로,Por teléfono
추적,Seguimiento
calling,vocación
나라고,Nara
시킬,Moho
언제쯤,cuando
소년이,Chico
나쁘진,Malo
않다는,No
어울리는,pareo
voila,Voila
환자에,Al paciente
쉴드,escudo
늑대,Un lobo
women,MUJERES
없다구,No
했는데요,Lo hice
존스,Jones
것이라고,Podría ser
그것들이,Ellos
drink,beber
받아라,Aceptar
서약을,Promesa
떨어져서,apagado
뭔가요,Alguna cosa
prince,Príncipe
자기는,Uno mismo
약한,débil
불구하고,A pesar de
입이,Boca
머물,Quedarse
걸렸어요,me atraparon
상관이,Correlación
하는거지,Hazlo
rest,DESCANSAR
수천,Mil
기억할,Recuerda
도와주고,Ayuda
이분이,ésta persona
군인,soldado
필요없어요,No lo necesito
moved,movido
도리가,Doriga
부탁이에요,Por favor
class,clase
mouth,boca
보여줄게,mostraré
fuck,Mierda
소녀를,La mujer
뜻이에요,Significa
cos,costilla
될거에요,Estarán
선물로,Como un regalo
생겨서,Ocurrió
두면,Dos
아침부터,desde la mañana
최대,máximo
지내는,Gastó
놓치고,Señorita
너한텐,Diez de ustedes
아부지,Abuji
카드를,Tarjeta
말했을,Yo dije
사이의,Entre
두는,Retorcido
책이,libro
나타나서,Que aparece
쉬지,Descansar
anymore,Más
car,coche
불어,Francés
철이,Hierro
속을,En el interior
벗어날,Atrasado
안좋은,no es bueno
그리구,Y
주의,precaución
보이는군,Visible
직업이,El trabajo es
휴가를,Vacaciones
과학,Ciencias
환자도,Pacientes también
공부를,estudiar
관계,relación
테지,Tesaje
선물이야,Es un regalo
거랑,Rango
이라,IR
사무실에서,En la oficina
두개골,cráneo
취해,Embriaguez
아버지께서,Padre
왔던,Venir
자길,Longitud propia
허드슨,Hudson
선상님,Sunsang
점심을,Almuerzo
났네,Usted está
포드,vado
tywin,tywin
신호,señal
끊임없이,sin cesar
빨라,Rápido
한쪽,par
동안이나,Durante
장소에,En su lugar
감사,gracias
음식이,Alimento
안경,lentes
rain,Lluvia
사형,ejecución
어디있어,Dónde estás
셰리,Jerez
가겠습니다,Iré
none,ninguna
갔죠,Fui
조직,grupo
돼야,Deber
되네,Está
깨끗하게,limpiamente
데려온,Trajo
죽도록,a muerte
의식이,Conciencia
조금은,ningún
지루한,aburrido
배워야,Aprender
제안을,Propuesta
제거할,Ser eliminado
어머니의,De mi madre
되는거지,Se vuelve
딸의,Hijas
일과,lección diaria
위를,Arriba
힘내,animar
오빤,Oppa
이라는,Llamó
댁,Casa
환자분,Paciente
속도,velocidad
행복을,Felicidad
작동,trabajar
그것들을,Ellos
싶군요,Yo quiero
암을,Cáncer
에버딘,Eberin
부드럽게,suavemente
증상이,Síntomas
자도,Descuidado
되겠다,voy a
잡아야,Tengo que atrapar
반가웠어요,Encantada de conocerte
베이비,bebé
얻고,Obtener
동영상,video
계시죠,Usted está
하시면,Si
처리할,Manejar
승남아,Seungnam
보아하니,Nos vemos
손상을,Daño
셈이죠,Es como
기회야,Es una oportunidad
나왔습니다,Salió
어떤가요,Cómo es
걔한테,A ella
새가,Nuevo
운명이,Destino
겨울,invierno
기사,Artículo
말씀이세요,Hablar
똑똑히,claramente
하나라도,Una
가득한,saturado
middle,Medio
거리에서,en la calle
타일러,Tyler
문제도,Problema
리나,Reena
프랭클린,Franklin
보며,Mirando a
긴장,Tensión
고생,privación
매주,cada semana
trial,prueba
일반,Normal
그앨,Ese altar
밥은,El arroz es
뉴욕에,En Nueva York
somewhere,En algún lugar
통제,Control
죽는다고,Muriendo
누구에게도,A cualquiera
고향으로,Hogar
salluste,saludo
해봐야,Tengo que intentarlo
잘도,Bien
근처에서,Cercano
식당,Restaurante
열차가,Tren
느낌을,Sentimiento
말씀하세요,Por favor habla
심각하게,En serio
놓으면,Si lo dejas ir
써서,Por
전의,ex
믿게,Creído
준다면,Si esto es
즐기는,divertido
댁에,En casa
누워서,Acostada
산타,Papa Noel
그이가,Ese
아리아,aria
감시,reloj
진작에,Más temprano
이해합니다,entiendo
켈리,Kelly
몰고,Condujo
green,Verde
전해주세요,mándalo
채널,canal
받으세요,Obtener
진실은,La verdad es
여유가,Repuesto
로즈,rosa
잡혀,Capturado
줄도,Línea
타디스에,Tadis
달콤한,dulce
미칠,Loca
공이,Pelota
사람에,Hombre
폐가,Familia pulmonar
blood,Sangre
고향에,Ciudad natal
평화,paz
잔소리,Rocín
떨어지는,descendente
최초의,Primero
밝은,brillante
한스,Hans
과장이,Exagerado
elle,Elle
하는군요,lo hago
인도,India
범죄를,Delito
마시지,Bebiendo
가실,Vamos
decision,decisión
시도,prueba
의학감수,Supervisión médica
기억도,Recuerda
번의,Bunn
내면,En el interior
친구라고,Un amigo
자식들,Niños
어니,Ernie
당신이라면,Si usted es
생각해서,Pensamiento
남성,masculino
서장님,Jefe
되겠군요,Será
들어야,Deber
cybermen,ciberamen
비명,grito
그런식으로,De ese modo
있다니까,Porque
돌고,Girar
가벼운,luz
즐길,Disfrutar
hit,pegar
있었거든,Estaba allí
독을,Veneno
잭슨,Jackson
말려,Seco
마미짱,Mami -chan
범인을,El culpable
가볍게,ligeramente
anywhere,En cualquier sitio
bradley,bradley
최선의,Mejor
parents,padres
메르디스,Merdis
息をしたくて,息 を
일이잖아,Es trabajo
짓이에요,Es un trabajo
일입니까,¿Es trabajo?
내리고,Apagado
사촌,primo
되겠네요,Será
엉덩이에,Culo
기본적으로,Básicamente
있을겁니다,Habrá
갈께,Iré
아침엔,En la mañana
기타,Etc
프로그램을,Programa
해결,solución
멋지지,Es genial
yo,yo
white,Blanco
용서를,Perdón
일주일에,en una semana
베티,Betty
young,joven
믿어야,Créelo
ここは苦しくて,苦 苦 苦
있더군요,Había
억지로,por la fuerza
모세,Moisés
있는가,¿Esta ahí?
놀러,desempeñar
다음날,Día siguiente
의식을,Conciencia
난다,Otoño
연결,conectar
일해,trabajar
부러진,Roto
가지러,Engranaje
imagine,imaginar
늦게까지,hasta tarde
같으면,Si lo mismo
해볼까,Vamos a intentarlo
기계를,Máquina
가보자,Vamos
가동,comportamiento
때까진,Tiempo
만나야,Reunir
enjoy,Disfrutar
인간들이,Humanos
썼어요,escribió
올라와,Sube
언니를,Hermana
그만하고,Parar y
